time,count
09:11,53
09:34,92
09:51,150
10:13,187
10:34,190
10:52,218
11:13,221
11:34,229
11:51,265
12:10,307
12:33,318
12:50,310
13:09,283
13:25,247
13:39,205
13:50,201
